descricaoProduto,marca,categoria,quantidade,valorUnitario
Smartphone Galaxy S21,Samsung,Telefones e Tablets,50,2350.99
Notebook Inspiron 15,Dell,Computadores,30, 4999.99
Smart TV LED 55,LG,TVs e Áudio,20,3648
Fone de Ouvido Bluetooth AirPods,Apple,Acessórios de Áudio,40,1350.75
Câmera Digital EOS Rebel T7,Canon,Câmeras e Filmadoras,15,899
Smartwatch Versa 3,FITBIT,Wearables,25,568
Console de Video Game PlayStation 5,Sony,Video Games,10,3999.99
Impressora Multifuncional DeskJet,HP,Impressoras,35, 2899.69
Mochila Executiva Swissgear,Swissgear,Bolsas e Mochilas,45,450
Tablet Fire HD 10,Amazon,Telefones e Tablets,55,3200
Monitor LED 24,ASUS,Monitores,25,1559.99
Mouse Sem Fio Logitech M705,Logitech,Periféricos de Computador,30,120
Teclado Mecânico RGB HyperX Alloy Elite,HyperX,Periféricos de Computador,20,458
Caixa de Som Bluetooth Charge 4,JBL,Áudio Portátil,35,300
Cadeira Gamer Alpha Series,DXRacer,Móveis para Escritório,15,1799
Barbeador Elétrico Series 9,Braun,Beleza e Cuidados Pessoais,40,356
Secador de Cabelo Profissional,Revlon,Beleza e Cuidados Pessoais,30,200
Aspirador de Pó Vertical Turbo,CleanUP,Eletrodomésticos,25,399
Ferro de Passar a Vapor EasyGlide,Philips,Eletrodomésticos,20,59.99
Cafeteira Expresso Automática,De'Longhi,Eletrodomésticos,10,346
Liquidificador Power Max,Oster,Eletrodomésticos,15,500
Panela de Pressão Elétrica,Black+Decker,Eletrodomésticos,20,220
Grill e Sanduicheira Pratic Cook,Britânia,Eletrodomésticos,25,347
Ventilador de Torre Oscilante,Arno,Eletrodomésticos,30,600
Lavadora de Roupas Turbo Wash,Electrolux,Eletrodomésticos,5,4000
Mala de Viagem Grande,Travelpro,Bolsas e Malas,40,800
Óculos de Sol Aviador,Ray-Ban,Óculos de Sol,20,1200
Relógio Analógico Unissex Casio,Casio,Relógios,25,999
Pulseira de Prata com Pingente de Coração,Tiffany & Co.,Jóias,30,3450
Anel de Ouro Branco com Diamante,Tiffany & Co.,Jóias,15,2000
Bolsa de Couro Crossbody,Michael Kors,Bolsas de Luxo,10,8000
Sapato Social Derby de Couro,Clarks,Calçados Masculinos,20,200
Tênis de Corrida UltraBoost,Adidas,Calçados Esportivos,35,769
Sandália de Salto Alto Feminina,Schutz,Calçados Femininos,25,210
Cinto de Couro Legítimo,Montblanc,Acessórios de Moda,30,59
Lenço de Seda Estampado,Hermès,Lenços e Echarpes,15,29
Casaco de Inverno Down Jacket,North Face,Roupas de Inverno,20,1800
Jaqueta de Couro Masculina,ZARA,Roupas de Moda,25,900
Blusa de Tricô Feminina,Gap,Roupas Femininas,30,700
Camisa Social Masculina Slim Fit,Calvin Klein,Roupas Masculinas,35,139
Vestido de Festa Longo,Prada,Roupas de Luxo,10,499
Blazer Feminino Clássico,Chanel,Roupas de Grife,15,399
Biquíni Cortininha Estampado,Vix,Suites de Banho,20,170
Maiô Asa Delta Preto,Lenny Niemeyer,Suites de Banho,25,140
Shorts Jeans Destroyed,Farm,Roupas Casual,30,250
Calça de Moletom Adidas,Adidas,Roupas Esportivas,35,220
Legging de Yoga Nike,Nike,Roupas de Academia,40,80
Top Fitness Estampado,Live!,Roupas Esportivas,45,99
Bola de Futebol Profissional Nike,Nike,Equipamento de Esporte,50,180
Raquete de Tênis Wilson,Wilson,Equipamento de Tênis,55,223
Bola de Basquete Spalding,Spalding,Bolas de Basquete,60,147
Luvas de Boxe Everlast,Everlast,Equipamento de Boxe,65,145
Saco de Pancadas de Couro,Sanabul,Equipamento de Luta,70,130
Caneleira de Peso Ajustável,Reebok,Equipamento de Treino,75,25
Esteira Elétrica Profissional,ProForm,Equipamento de Cardio,80,1299.99
Bicicleta Ergométrica Schwinn,Schwinn,Bicicletas de Exercício,85,789.99
Barra de Musculação Profissional,Olympikus,Equipamento de Musculação,90,220
Kit de Halteres Emborrachados,Body-Solid,Equipamento de Ginástica,95,55
Bola Suíça de Pilates,BalanceFrom,Acessórios de Pilates,100,200
Tapete de Yoga Anti-Derrapante,Gaiam,Acessórios de Yoga,105,129.99
Bloco de Espuma para Yoga,YogaRat,Acessórios de Yoga,110,29
Garrafa de Água de Aço Inoxidável,Hydro Flask,Acessórios de Hidratação,115,30
Cinto de Hidratação para Corrida,Nathan,Acessórios de Corrida,120,99
Toalha de Microfibra Esportiva,Athletic,Acessórios de Academia,125,57
Fone de Ouvido Esportivo Bluetooth,Sennheiser,Acessórios de Fitness,130,450
Relógio Esportivo GPS Garmin,Garmin,Relógios Esportivos,135,68
Monitor de Frequência Cardíaca Polar,Polar,Monitores de Exercício,140,77
Balança Digital Inteligente,Withings,Acessórios de Saúde,145,123
Massageador de Percussão,Hyperice,Aparelhos de Massagem,150,58
Cinta Modeladora Abdominal,Slimbelt,Acessórios de Fitness,155,45
Mousepad 30x30,Slimbelt,Acessórios de T.I,10,69
